Dataset,Method,gamma,R@1,R@5,R@10,count@1,mean_alpha,mean_rho,median_LU
AmsterTime,B1 visual-only,,43.46060113728676,63.444354183590576,70.18683996750609,535,,,
AmsterTime,B2 fixed fusion,,43.62307067424858,65.80016246953696,73.43623070674249,537,0.5,,
AmsterTime,V2 adaptive precision,0.25,43.21689683184403,65.55645816409424,70.18683996750609,532,0.622517466545105,1.8265348672866821,0.9075320363044739
AmsterTime,V2 adaptive precision,0.5,44.272948822095856,65.55645816409424,70.18683996750609,545,0.7271679639816284,3.367480993270874,0.9075320363044739
AmsterTime,V2 adaptive precision,0.75,45.00406173842404,65.15028432168968,70.18683996750609,554,0.8088943958282471,6.26719331741333,0.9075320363044739
AmsterTime,V2 adaptive precision,1.0,44.191714053614945,64.90658001624695,70.18683996750609,544,0.8685010075569153,11.524625778198242,0.9075320363044739
AmsterTime,V2 adaptive precision,1.25,44.59788789601949,64.58164094232332,70.18683996750609,549,0.9062634706497192,17.012060165405273,0.9075320363044739
AmsterTime,V2 adaptive precision,1.5,44.272948822095856,64.58164094232332,70.18683996750609,545,0.9234586358070374,19.290504455566406,0.9075320363044739
MSLS-val,B1 visual-only,,84.86486486486487,90.94594594594595,92.83783783783784,628,,,
MSLS-val,B2 fixed fusion,,84.45945945945945,91.48648648648648,93.24324324324324,625,0.5,,
MSLS-val,V2 adaptive precision,0.25,85.54054054054055,91.08108108108108,92.83783783783784,633,0.6356695890426636,1.909259557723999,0.9218730330467224
MSLS-val,V2 adaptive precision,0.5,85.4054054054054,91.21621621621621,92.83783783783784,632,0.7467079162597656,3.685851812362671,0.9218730330467224
MSLS-val,V2 adaptive precision,0.75,85.4054054054054,91.35135135135135,92.83783783783784,632,0.8302236795425415,7.196177005767822,0.9218730330467224
MSLS-val,V2 adaptive precision,1.0,84.5945945945946,91.08108108108108,92.83783783783784,626,0.8877815008163452,13.302289962768555,0.9218730330467224
MSLS-val,V2 adaptive precision,1.25,84.72972972972973,90.94594594594595,92.83783783783784,627,0.919318437576294,18.208288192749023,0.9218730330467224
MSLS-val,V2 adaptive precision,1.5,84.86486486486487,90.8108108108108,92.83783783783784,628,0.9302703142166138,19.659194946289062,0.9218730330467224
Nordland-clean,B1 visual-only,,52.75,76.25,87.75,211,,,
Nordland-clean,B2 fixed fusion,,45.75,75.0,83.75,183,0.5,,
Nordland-clean,V2 adaptive precision,0.25,48.75,78.0,87.75,195,0.6207313537597656,1.9154574871063232,0.9032793641090393
Nordland-clean,V2 adaptive precision,0.5,50.0,78.5,87.75,200,0.7199711799621582,3.6671035289764404,0.9032793641090393
Nordland-clean,V2 adaptive precision,0.75,51.0,77.25,87.75,204,0.7961264848709106,6.982938289642334,0.9032793641090393
Nordland-clean,V2 adaptive precision,1.0,52.5,76.5,87.75,210,0.8511046767234802,11.642424583435059,0.9032793641090393
Nordland-clean,V2 adaptive precision,1.25,52.75,76.75,87.75,211,0.8882808089256287,15.837078094482422,0.9032793641090393
Nordland-clean,V2 adaptive precision,1.5,52.5,76.75,87.75,210,0.9102857708930969,18.321779251098633,0.9032793641090393
