Dataset,Split,Axis,Coverage,n_kept,mean_axis_score_kept,V2_R@1,V2_risk,rho,candidate_pool,uncertainty_k,mean_alpha_full,mean_SU_full,mean_LU_full
AmsterTime,full,SU,0.05,62,0.39173370599746704,93.54838709677419,6.451612903225808,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.1,124,0.4359365701675415,92.74193548387096,7.258064516129039,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.2,247,0.4989622235298157,87.85425101214574,12.145748987854262,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.3,370,0.5449696183204651,81.89189189189189,18.108108108108112,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.4,493,0.5819986462593079,74.0365111561866,25.963488843813394,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.5,616,0.6132423281669617,66.72077922077922,33.27922077922078,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.6,739,0.6409342885017395,61.02841677943166,38.97158322056834,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.7,862,0.6653273105621338,56.61252900232019,43.38747099767981,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.8,985,0.6876255869865417,51.878172588832484,48.121827411167516,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,0.9,1108,0.7080357074737549,47.74368231046932,52.25631768953068,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,SU,1.0,1231,0.7286254167556763,44.35418359057677,55.64581640942323,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.05,62,0.8001940846443176,62.903225806451616,37.096774193548384,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.1,124,0.8208422660827637,57.25806451612904,42.74193548387096,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.2,247,0.8413944840431213,51.417004048582996,48.582995951417004,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.3,370,0.8544473052024841,49.72972972972973,50.27027027027027,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.4,493,0.864368736743927,48.6815415821501,51.3184584178499,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.5,616,0.8721352815628052,46.42857142857143,53.57142857142857,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.6,739,0.878858745098114,46.14343707713126,53.85656292286874,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.7,862,0.8849477171897888,46.51972157772622,53.48027842227378,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.8,985,0.8905171751976013,46.09137055837563,53.90862944162437,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,0.9,1108,0.8958361148834229,45.30685920577617,54.69314079422383,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,LU,1.0,1231,0.901530385017395,44.35418359057677,55.64581640942323,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.05,62,0.3632163107395172,90.32258064516128,9.677419354838719,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.1,124,0.4868161976337433,83.06451612903226,16.935483870967744,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.2,247,0.6902309060096741,74.89878542510121,25.10121457489879,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.3,370,0.8443529009819031,71.08108108108108,28.91891891891892,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.4,493,0.9707689881324768,68.15415821501014,31.845841784989858,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.5,616,1.082073450088501,62.01298701298701,37.98701298701299,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.6,739,1.1812721490859985,57.91610284167794,42.08389715832206,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.7,862,1.2797240018844604,54.872389791183295,45.127610208816705,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.8,985,1.3799138069152832,51.16751269035533,48.83248730964467,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,0.9,1108,1.4830701351165771,47.65342960288809,52.34657039711191,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,joint_variance_unweighted,1.0,1231,1.609012484550476,44.35418359057677,55.64581640942323,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.05,62,0.037490420043468475,95.16129032258065,4.838709677419345,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.1,124,0.05501336604356766,90.32258064516128,9.677419354838719,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.2,247,0.08306920528411865,82.5910931174089,17.408906882591097,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.3,370,0.10833078622817993,72.70270270270271,27.29729729729729,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.4,493,0.13179849088191986,63.28600405679513,36.71399594320487,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.5,616,0.15229928493499756,56.65584415584416,43.34415584415584,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.6,739,0.171739861369133,53.45060893098782,46.54939106901218,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.7,862,0.19214971363544464,49.88399071925754,50.11600928074246,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.8,985,0.21470260620117188,47.10659898477157,52.89340101522843,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,0.9,1108,0.2418084591627121,45.758122743682314,54.241877256317686,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
AmsterTime,full,language_weight_1_minus_alpha,1.0,1231,0.28301650285720825,44.35418359057677,55.64581640942323,3.0,10,10,0.7169834971427917,0.7286254167556763,0.901530385017395
MSLS-val held-out,heldout,SU,0.05,26,0.3859610855579376,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.1,52,0.4272673726081848,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.2,104,0.4801061451435089,99.03846153846155,0.9615384615384528,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.3,156,0.5235149264335632,97.43589743589743,2.564102564102569,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.4,208,0.5592184662818909,98.07692307692307,1.923076923076934,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
