Dataset,Method,candidate_pool,R@1,R@5,R@10,count@1,mean_alpha
AmsterTime,B1 visual-only,,43.46060113728676,63.444354183590576,70.18683996750609,535,
AmsterTime,B2 fixed fusion full DB,,43.62307067424858,65.80016246953696,73.43623070674249,537,0.5
AmsterTime,V2 conservative precision,10.0,44.760357432981316,64.98781478472786,70.18683996750609,551,0.821467936038971
AmsterTime,V2 conservative precision,20.0,44.84159220146223,65.47522339561333,72.46141348497157,552,0.821467936038971
AmsterTime,V2 conservative precision,50.0,44.84159220146223,65.55645816409424,72.62388302193338,552,0.821467936038971
AmsterTime,V2 conservative precision,100.0,44.92282696994314,65.55645816409424,72.70511779041429,553,0.821467936038971
MSLS-val,B1 visual-only,,84.86486486486487,90.94594594594595,92.83783783783784,628,
MSLS-val,B2 fixed fusion full DB,,84.45945945945945,91.48648648648648,93.24324324324324,625,0.5
MSLS-val,V2 conservative precision,10.0,85.4054054054054,91.48648648648648,92.83783783783784,632,0.8269040584564209
MSLS-val,V2 conservative precision,20.0,85.4054054054054,91.48648648648648,93.24324324324324,632,0.8269040584564209
MSLS-val,V2 conservative precision,50.0,85.4054054054054,91.48648648648648,93.24324324324324,632,0.8269040584564209
MSLS-val,V2 conservative precision,100.0,85.4054054054054,91.62162162162163,93.24324324324324,632,0.8269040584564209
Nordland-clean,B1 visual-only,,52.75,76.25,87.75,211,
Nordland-clean,B2 fixed fusion full DB,,45.75,75.0,83.75,183,0.5
Nordland-clean,V2 conservative precision,10.0,52.0,76.5,87.75,208,0.8165925741195679
Nordland-clean,V2 conservative precision,20.0,52.0,75.75,87.75,208,0.8165925741195679
Nordland-clean,V2 conservative precision,50.0,51.75,76.0,87.75,207,0.8165925741195679
Nordland-clean,V2 conservative precision,100.0,51.75,75.5,87.25,207,0.8165925741195679
