feature,coefficient,abs_coefficient
visual_score,1.1561695308272455,1.1561695308272455
visual_x_language,-0.9973782501451168,0.9973782501451168
language_minus_visual,-0.9389504774631018,0.9389504774631018
language_score,0.7217186875932982,0.7217186875932982
language_margin_from_top,-0.6760044440493572,0.6760044440493572
visual_margin_from_top,-0.6678299195546559,0.6678299195546559
sigma_v2,-0.36310535449483705,0.36310535449483705
SU_norm,-0.23703622040552108,0.23703622040552108
SU_raw,-0.23703617371672572,0.23703617371672572
language_rank_norm,0.22922905406664257,0.22922905406664257
visual_rank_norm,-0.18714640482042957,0.18714640482042957
alpha_visual_weight,-0.16992048440611865,0.16992048440611865
language_weight_1_minus_alpha,0.1699194530514407,0.1699194530514407
LU_norm,0.07586456851034157,0.07586456851034157
LU_raw,0.07586435635099428,0.07586435635099428
sigma_l2,-0.05297459860596096,0.05297459860596096
