Dataset,LU_decile,n_queries,mean_LU,visual_R@1,language_only_R@1,v2_R@1,language_gain_vs_visual_pp,v2_gain_vs_visual_pp
AmsterTime,1,124,0.8208423023387097,52.41935483870967,48.38709677419355,57.25806451612904,-4.0322580645161255,4.838709677419361
AmsterTime,2,123,0.8621137145528457,47.15447154471545,34.146341463414636,45.52845528455284,-13.008130081300811,-1.626016260162605
AmsterTime,3,123,0.8806592890243902,46.34146341463415,26.82926829268293,46.34146341463415,-19.51219512195122,0.0
AmsterTime,4,123,0.8942136363414634,43.90243902439025,21.138211382113823,45.52845528455284,-22.76422764227642,1.6260162601625994
AmsterTime,5,123,0.9032644741463414,34.146341463414636,17.88617886178862,37.39837398373984,-16.260162601626018,3.2520325203251987
AmsterTime,6,123,0.9125308099186991,44.71544715447154,21.138211382113823,44.71544715447154,-23.57723577235772,0.0
AmsterTime,7,123,0.9215314847154472,49.59349593495935,17.88617886178862,48.78048780487805,-31.707317073170728,-0.8130081300812997
AmsterTime,8,123,0.9295480700813007,43.08943089430895,19.51219512195122,43.08943089430895,-23.577235772357724,0.0
AmsterTime,9,123,0.938431117886179,36.58536585365854,14.634146341463413,39.02439024390244,-21.951219512195124,2.4390243902439046
AmsterTime,10,123,0.9528247178048781,36.58536585365854,13.008130081300814,35.77235772357724,-23.57723577235772,-0.8130081300812997
MSLS-val held-out,1,52,0.8389074236538462,88.46153846153845,88.46153846153845,94.23076923076923,0.0,5.769230769230771
MSLS-val held-out,2,52,0.8844810867307693,82.6923076923077,75.0,80.76923076923077,-7.692307692307687,-1.9230769230769162
MSLS-val held-out,3,52,0.8988833373076923,90.38461538461539,69.23076923076923,90.38461538461539,-21.153846153846157,0.0
MSLS-val held-out,4,51,0.9085248545098039,80.3921568627451,68.62745098039215,80.3921568627451,-11.764705882352944,0.0
MSLS-val held-out,5,52,0.9174022601923076,88.46153846153845,71.15384615384616,86.53846153846155,-17.307692307692303,-1.9230769230769162
MSLS-val held-out,6,52,0.9256091078846155,75.0,63.46153846153846,73.07692307692307,-11.538461538461542,-1.9230769230769273
MSLS-val held-out,7,51,0.9328976905882352,84.31372549019608,72.54901960784314,88.23529411764706,-11.764705882352944,3.9215686274509776
MSLS-val held-out,8,52,0.9403983401923077,84.61538461538461,71.15384615384616,88.46153846153845,-13.461538461538458,3.8461538461538436
MSLS-val held-out,9,52,0.9492278415384615,84.61538461538461,67.3076923076923,84.61538461538461,-17.307692307692303,0.0
MSLS-val held-out,10,52,0.963852733653846,88.46153846153845,61.53846153846154,86.53846153846155,-26.923076923076916,-1.9230769230769162
Nordland-clean,1,40,0.7803736824999999,55.00000000000001,35.0,47.5,-20.000000000000007,-7.500000000000007
Nordland-clean,2,40,0.8285483060000001,42.5,42.5,50.0,0.0,7.500000000000001
Nordland-clean,3,40,0.8615744195000001,67.5,37.5,55.00000000000001,-30.000000000000004,-12.5
Nordland-clean,4,40,0.8786446430000001,45.0,30.0,40.0,-15.000000000000002,-4.999999999999999
Nordland-clean,5,40,0.8959182012500001,45.0,47.5,47.5,2.4999999999999964,2.4999999999999964
Nordland-clean,6,40,0.9110753309999999,57.49999999999999,27.500000000000004,55.00000000000001,-29.999999999999993,-2.499999999999991
Nordland-clean,7,40,0.924202789,70.0,45.0,70.0,-24.999999999999993,0.0
Nordland-clean,8,40,0.9384782359999999,62.5,35.0,60.0,-27.500000000000004,-2.500000000000002
Nordland-clean,9,40,0.9568904119999999,52.5,22.5,50.0,-30.000000000000004,-2.500000000000002
Nordland-clean,10,40,0.977447801,30.0,27.500000000000004,30.0,-2.4999999999999964,0.0
