Dataset,Variant,LU_lambda,LU_K,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha,mean_LU,delta_R@1_vs_baseline,delta_R@5_vs_baseline,delta_R@10_vs_baseline
AmsterTime,baseline_repo_LU,0.5,10,44.35418359057677,65.63769293257515,70.18683996750609,546,808,864,0.7169834971427917,0.901530385017395,0.0,0.0,0.0
AmsterTime,custom_LU_sensitivity,0.3,5,44.35418359057677,65.2315190901706,70.18683996750609,546,803,864,0.7187687156053457,0.987563383977394,0.0,-0.4061738424045558,0.0
AmsterTime,custom_LU_sensitivity,0.5,5,44.35418359057677,65.2315190901706,70.18683996750609,546,803,864,0.718703948407401,0.979709286919222,0.0,-0.4061738424045558,0.0
AmsterTime,custom_LU_sensitivity,0.7,5,44.272948822095856,65.2315190901706,70.18683996750609,545,803,864,0.7186745073312377,0.9718551936135769,-0.08123476848091116,-0.4061738424045558,0.0
AmsterTime,custom_LU_sensitivity,0.3,10,44.191714053614945,65.39398862713242,70.18683996750609,544,805,864,0.7185844598104171,0.9901249137947284,-0.16246953696182231,-0.24370430544273347,0.0
AmsterTime,custom_LU_sensitivity,0.5,10,44.191714053614945,65.39398862713242,70.18683996750609,544,805,864,0.7185382230600963,0.9838731961969902,-0.16246953696182231,-0.24370430544273347,0.0
AmsterTime,custom_LU_sensitivity,0.7,10,44.191714053614945,65.39398862713242,70.18683996750609,544,805,864,0.7185172386471768,0.9776214820370502,-0.16246953696182231,-0.24370430544273347,0.0
AmsterTime,custom_LU_sensitivity,0.3,20,44.35418359057677,65.71892770105605,70.18683996750609,546,809,864,0.7190312244266786,0.9916571903673623,0.0,0.08123476848089695,0.0
AmsterTime,custom_LU_sensitivity,0.5,20,44.35418359057677,65.71892770105605,70.18683996750609,546,809,864,0.7190138037391217,0.9863683120171505,0.0,0.08123476848089695,0.0
AmsterTime,custom_LU_sensitivity,0.7,20,44.35418359057677,65.71892770105605,70.18683996750609,546,809,864,0.7190054190301266,0.9810794368989532,0.0,0.08123476848089695,0.0
MSLS-val held-out,baseline_repo_LU,0.5,10,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,0.723717212677002,0.9160003662109375,0.0,0.0,0.0
MSLS-val held-out,custom_LU_sensitivity,0.3,5,85.32818532818533,91.6988416988417,93.05019305019306,442,475,482,0.7163548357002526,0.9906120900822203,0.0,0.3861003861003951,0.0
MSLS-val held-out,custom_LU_sensitivity,0.5,5,85.52123552123551,91.6988416988417,93.05019305019306,443,475,482,0.7161475411644569,0.9846729603805767,0.19305019305018334,0.3861003861003951,0.0
MSLS-val held-out,custom_LU_sensitivity,0.7,5,85.52123552123551,91.6988416988417,93.05019305019306,443,475,482,0.7160568075155416,0.9787338347062744,0.19305019305018334,0.3861003861003951,0.0
MSLS-val held-out,custom_LU_sensitivity,0.3,10,85.52123552123551,91.11969111969111,93.05019305019306,443,472,482,0.7173203908429242,0.9921599637100165,0.19305019305018334,-0.19305019305019755,0.0
MSLS-val held-out,custom_LU_sensitivity,0.5,10,85.52123552123551,91.11969111969111,93.05019305019306,443,472,482,0.7171143490939959,0.9872345067109796,0.19305019305018334,-0.19305019305019755,0.0
MSLS-val held-out,custom_LU_sensitivity,0.7,10,85.52123552123551,91.11969111969111,93.05019305019306,443,472,482,0.7170246212682679,0.9823090518406802,0.19305019305018334,-0.19305019305019755,0.0
MSLS-val held-out,custom_LU_sensitivity,0.3,20,85.13513513513513,91.31274131274131,93.05019305019306,441,473,482,0.7150729751388263,0.9930217686396281,-0.19305019305019755,0.0,0.0
MSLS-val held-out,custom_LU_sensitivity,0.5,20,85.13513513513513,91.11969111969111,93.05019305019306,441,472,482,0.7149457299286236,0.9886381057926896,-0.19305019305019755,-0.19305019305019755,0.0
MSLS-val held-out,custom_LU_sensitivity,0.7,20,85.13513513513513,91.11969111969111,93.05019305019306,441,472,482,0.7148909880478529,0.9842544458799567,-0.19305019305019755,-0.19305019305019755,0.0
Nordland-clean,baseline_repo_LU,0.5,10,50.5,78.75,87.75,202,315,351,0.7124812602996826,0.895315408706665,0.0,0.0,0.0
Nordland-clean,custom_LU_sensitivity,0.3,5,51.24999999999999,78.75,87.75,205,315,351,0.7115120355494315,0.9869323191439563,0.7499999999999929,0.0,0.0
Nordland-clean,custom_LU_sensitivity,0.5,5,51.24999999999999,78.5,87.75,205,314,351,0.7114494762534964,0.9787563913489704,0.7499999999999929,-0.25,0.0
Nordland-clean,custom_LU_sensitivity,0.7,5,51.24999999999999,78.5,87.75,205,314,351,0.7114201954666663,0.9705804663106993,0.7499999999999929,-0.25,0.0
Nordland-clean,custom_LU_sensitivity,0.3,10,49.0,76.75,87.75,196,307,351,0.717125608648286,0.991779791235956,-1.5,-2.0,0.0
Nordland-clean,custom_LU_sensitivity,0.5,10,49.0,76.75,87.75,196,307,351,0.7171014436859147,0.9867611086954194,-1.5,-2.0,0.0
Nordland-clean,custom_LU_sensitivity,0.7,10,49.0,76.75,87.75,196,307,351,0.7170849421050468,0.9817424277567577,-1.5,-2.0,0.0
Nordland-clean,custom_LU_sensitivity,0.3,20,50.0,76.75,87.75,200,307,351,0.7187843372016764,0.9943181526246662,-0.5,-2.0,0.0
Nordland-clean,custom_LU_sensitivity,0.5,20,50.0,76.75,87.75,200,307,351,0.7188005901372864,0.9909403183068544,-0.5,-2.0,0.0
Nordland-clean,custom_LU_sensitivity,0.7,20,50.0,76.75,87.75,200,307,351,0.7188020369354118,0.9875624853674,-0.5,-2.0,0.0
