Dataset,LU_lambda,LU_K,is_baseline_lambda05_K10,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha,mean_LU,delta_R@1_vs_lambda05_K10,delta_R@5_vs_lambda05_K10,delta_R@10_vs_lambda05_K10
AmsterTime,0.3,5,False,44.43541835905768,65.2315190901706,70.18683996750609,547,803,864,0.717014729976654,0.9216546416282654,0.08123476848091116,-0.4061738424045558,0.0
AmsterTime,0.5,5,False,44.11047928513403,65.15028432168968,70.18683996750609,543,802,864,0.716991126537323,0.9176387190818787,-0.24370430544273347,-0.48740861088546694,0.0
AmsterTime,0.7,5,False,44.191714053614945,65.15028432168968,70.18683996750609,544,802,864,0.7168930768966675,0.913623034954071,-0.16246953696182231,-0.48740861088546694,0.0
AmsterTime,0.3,10,False,44.43541835905768,65.63769293257515,70.18683996750609,547,808,864,0.7170052528381348,0.9040131568908691,0.08123476848091116,0.0,0.0
AmsterTime,0.5,10,True,44.35418359057677,65.63769293257515,70.18683996750609,546,808,864,0.7169834971427917,0.901530385017395,0.0,0.0,0.0
AmsterTime,0.7,10,False,44.272948822095856,65.63769293257515,70.18683996750609,545,808,864,0.7169382572174072,0.8990475535392761,-0.08123476848091116,0.0,0.0
AmsterTime,0.3,20,False,44.760357432981316,66.04386677497969,70.18683996750609,551,813,864,0.7180967330932617,0.8874783515930176,0.4061738424045487,0.4061738424045416,0.0
AmsterTime,0.5,20,False,44.679122664500404,66.04386677497969,70.18683996750609,550,813,864,0.7180617451667786,0.8858046531677246,0.3249390739236375,0.4061738424045416,0.0
AmsterTime,0.7,20,False,44.43541835905768,66.04386677497969,70.18683996750609,547,813,864,0.7180010080337524,0.8841311931610107,0.08123476848091116,0.4061738424045416,0.0
MSLS-val held-out,0.3,5,False,84.55598455598455,91.5057915057915,93.05019305019306,438,474,482,0.7186395525932312,0.9402545690536499,-0.772200772200776,0.19305019305019755,0.0
MSLS-val held-out,0.5,5,False,84.74903474903475,91.6988416988417,93.05019305019306,439,475,482,0.7189278602600098,0.9370455741882324,-0.5791505791505784,0.3861003861003951,0.0
MSLS-val held-out,0.7,5,False,84.74903474903475,91.5057915057915,93.05019305019306,439,474,482,0.7190855741500854,0.9338366389274597,-0.5791505791505784,0.19305019305019755,0.0
MSLS-val held-out,0.3,10,False,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,0.7236155867576599,0.9181104898452759,0.0,0.0,0.0
MSLS-val held-out,0.5,10,True,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,0.723717212677002,0.9160003662109375,0.0,0.0,0.0
MSLS-val held-out,0.7,10,False,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,0.7237489819526672,0.9138902425765991,0.0,0.0,0.0
MSLS-val held-out,0.3,20,False,85.71428571428571,91.31274131274131,93.05019305019306,444,473,482,0.7236401438713074,0.8980181217193604,0.3861003861003809,0.0,0.0
MSLS-val held-out,0.5,20,False,85.52123552123551,91.31274131274131,93.05019305019306,443,473,482,0.7235612869262695,0.8965190649032593,0.19305019305018334,0.0,0.0
MSLS-val held-out,0.7,20,False,85.71428571428571,91.31274131274131,93.05019305019306,444,473,482,0.7234225273132324,0.8950200080871582,0.3861003861003809,0.0,0.0
Nordland-clean,0.3,5,False,51.24999999999999,78.25,87.75,205,313,351,0.7102361917495728,0.9202406406402588,0.7499999999999929,-0.5,0.0
Nordland-clean,0.5,5,False,51.24999999999999,78.5,87.75,205,314,351,0.7103868126869202,0.9162734150886536,0.7499999999999929,-0.25,0.0
Nordland-clean,0.7,5,False,51.24999999999999,78.5,87.75,205,314,351,0.7105527520179749,0.9123061895370483,0.7499999999999929,-0.25,0.0
Nordland-clean,0.3,10,False,50.5,78.75,87.75,202,315,351,0.7121943831443787,0.8970582485198975,0.0,0.0,0.0
Nordland-clean,0.5,10,True,50.5,78.75,87.75,202,315,351,0.7124812602996826,0.895315408706665,0.0,0.0,0.0
Nordland-clean,0.7,10,False,50.24999999999999,78.75,87.75,201,315,351,0.712787389755249,0.8935725688934326,-0.2500000000000071,0.0,0.0
Nordland-clean,0.3,20,False,51.24999999999999,77.5,87.75,205,310,351,0.718281626701355,0.8778865337371826,0.7499999999999929,-1.25,0.0
Nordland-clean,0.5,20,False,51.24999999999999,77.5,87.75,205,310,351,0.7189361453056335,0.8775438666343689,0.7499999999999929,-1.25,0.0
Nordland-clean,0.7,20,False,51.0,77.75,87.75,204,311,351,0.7196176052093506,0.8772012591362,0.5,-1.0,0.0
