dataset,split,seed,calibration_fraction,n_calibration_queries,n_heldout_queries,uncertainty_k,rho,candidate_pool,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha,mean_SU,mean_LU
MSLS-val,calibration,42,0.3,222,518,10,1.0,10,83.33333333333333,90.09009009009009,92.34234234234235,185,200,205,0.502882182598114,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.0,20,81.98198198198199,90.09009009009009,91.89189189189189,182,200,204,0.502882182598114,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.0,50,81.53153153153153,90.09009009009009,92.34234234234235,181,200,205,0.502882182598114,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.0,100,81.53153153153153,90.54054054054055,91.89189189189189,181,201,204,0.502882182598114,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.5,10,85.13513513513513,90.990990990991,92.34234234234235,189,202,205,0.5876196026802063,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.5,20,84.23423423423424,90.990990990991,91.89189189189189,187,202,204,0.5876196026802063,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.5,50,84.23423423423424,90.990990990991,92.34234234234235,187,202,205,0.5876196026802063,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,1.5,100,84.23423423423424,91.44144144144144,92.34234234234235,187,203,205,0.5876196026802063,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,2.0,10,85.13513513513513,90.990990990991,92.34234234234235,189,202,205,0.645152747631073,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,2.0,20,85.13513513513513,90.54054054054055,91.44144144144144,189,201,203,0.645152747631073,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,2.0,50,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.645152747631073,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,2.0,100,84.68468468468468,91.89189189189189,92.7927927927928,188,204,206,0.645152747631073,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,3.0,10,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7197359204292297,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,3.0,20,85.58558558558559,90.990990990991,91.44144144144144,190,202,203,0.7197359204292297,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,3.0,50,85.58558558558559,90.990990990991,92.7927927927928,190,202,206,0.7197359204292297,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,3.0,100,85.58558558558559,91.44144144144144,92.7927927927928,190,203,206,0.7197359204292297,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,4.0,10,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7667623162269592,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,4.0,20,85.58558558558559,90.990990990991,91.44144144144144,190,202,203,0.7667623162269592,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,4.0,50,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7667623162269592,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,4.0,100,85.58558558558559,91.44144144144144,92.34234234234235,190,203,205,0.7667623162269592,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,6.0,10,84.68468468468468,91.89189189189189,92.34234234234235,188,204,205,0.8236983418464661,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,6.0,20,84.68468468468468,91.44144144144144,92.34234234234235,188,203,205,0.8236983418464661,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,6.0,50,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.8236983418464661,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,6.0,100,84.68468468468468,91.89189189189189,92.7927927927928,188,204,206,0.8236983418464661,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,8.0,10,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.857380211353302,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,8.0,20,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.857380211353302,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,8.0,50,84.23423423423424,91.89189189189189,92.7927927927928,187,204,206,0.857380211353302,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,8.0,100,84.23423423423424,92.34234234234235,92.7927927927928,187,205,206,0.857380211353302,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,10.0,10,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.879835844039917,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,10.0,20,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.879835844039917,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,10.0,50,84.23423423423424,91.89189189189189,92.7927927927928,187,204,206,0.879835844039917,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,10.0,100,84.23423423423424,92.34234234234235,92.7927927927928,187,205,206,0.879835844039917,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,12.0,10,84.68468468468468,91.89189189189189,92.34234234234235,188,204,205,0.8959553241729736,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,12.0,20,84.68468468468468,91.89189189189189,92.34234234234235,188,204,205,0.8959553241729736,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,12.0,50,84.68468468468468,91.89189189189189,92.7927927927928,188,204,206,0.8959553241729736,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,12.0,100,84.68468468468468,92.34234234234235,92.7927927927928,188,205,206,0.8959553241729736,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,16.0,10,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.9176628589630127,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,16.0,20,84.23423423423424,91.89189189189189,92.34234234234235,187,204,205,0.9176628589630127,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,16.0,50,84.23423423423424,91.89189189189189,92.7927927927928,187,204,206,0.9176628589630127,0.7283236980438232,0.9169918894767761
MSLS-val,calibration,42,0.3,222,518,10,16.0,100,84.23423423423424,92.34234234234235,92.7927927927928,187,205,206,0.9176628589630127,0.7283236980438232,0.9169918894767761
