case_id,query_id,n_positive_db_ids,template_first_positive_dbid,best_visual_positive_dbid,same_as_template,visual_score_first_positive,visual_score_best_positive
1,25,51,1,8,False,0.2071947455406189,0.31347349286079407
2,31,51,4,8,False,0.30832037329673767,0.5285326242446899
3,32,51,5,8,False,0.2861268222332001,0.44921231269836426
4,34,51,6,8,False,0.313702255487442,0.43376609683036804
5,36,51,8,20,False,0.3243163228034973,0.3981277644634247
6,48,51,20,47,False,0.16985823214054108,0.3903674781322479
7,69,51,41,49,False,0.1944303810596466,0.3141479790210724
8,74,51,47,62,False,0.2361917942762375,0.28520599007606506
9,89,51,61,61,True,0.24033069610595703,0.24033069610595703
10,110,45,0,0,True,0.3727698028087616,0.3727698028087616
11,141,51,114,134,False,0.5159862637519836,0.6323155164718628
12,155,49,0,377,False,0.2794269621372223,0.48149701952934265
13,158,51,130,149,False,0.11541583389043808,0.5717868804931641
14,159,51,131,150,False,0.13621832430362701,0.5777022838592529
15,171,51,143,160,False,0.11541764438152313,0.5833281874656677
16,172,51,145,160,False,0.08757639676332474,0.38616806268692017
17,176,51,149,169,False,0.16734975576400757,0.4398443400859833
18,190,51,162,182,False,0.05974850058555603,0.6225017309188843
19,193,51,165,185,False,0.18598589301109314,0.40891212224960327
20,195,51,168,186,False,0.33872056007385254,0.4766373634338379
21,212,51,184,204,False,0.121282197535038,0.5604894757270813
22,218,51,191,211,False,0.13322137296199799,0.5588318109512329
23,237,51,208,228,False,0.23387345671653748,0.5409857034683228
24,248,51,219,239,False,0.04298758879303932,0.49878063797950745
25,252,51,225,245,False,0.19840016961097717,0.447672575712204
26,256,51,228,247,False,0.10775244981050491,0.30343562364578247
27,269,51,241,278,False,0.07358356565237045,0.4392200708389282
28,274,51,247,250,False,0.2874845564365387,0.4129139184951782
29,280,51,252,272,False,0.41956543922424316,0.42889484763145447
30,284,51,257,276,False,0.062255047261714935,0.48792564868927
31,295,51,268,289,False,0.33871233463287354,0.46254661679267883
32,300,51,272,293,False,0.22461283206939697,0.5039647221565247
33,314,42,286,306,False,0.20356452465057373,0.44937190413475037
34,318,38,291,309,False,0.24717280268669128,0.5631140470504761
35,319,37,292,311,False,0.23446497321128845,0.4413623809814453
36,329,28,302,317,False,0.24474048614501953,0.3619314730167389
37,340,51,133,177,False,0.1974690556526184,0.28668785095214844
38,350,51,233,277,False,0.01432996615767479,0.5855587720870972
39,355,31,0,133,False,0.07189352810382843,0.08346004039049149
40,362,51,335,351,False,0.05155279114842415,0.3745821714401245
