case_id,query_id,positive_db_id,query_image_path,positive_db_image_path,query_caption,positive_db_caption,second_verifier_same_place,second_verifier_confidence_1_to_3,second_verifier_notes
1,25,1,queries/@0@122@@@@@000122@@@@@@@@.jpg,database/@0@100@@@@@000100@@@@@@@@.jpg,a person riding a snowboard down a snowy slope,a train traveling down the tracks in the woods,,,
2,31,4,queries/@0@128@@@@@000128@@@@@@@@.jpg,database/@0@103@@@@@000103@@@@@@@@.jpg,a train is traveling through the snow covered forest,a train traveling down the tracks in the woods,,,
3,32,5,queries/@0@129@@@@@000129@@@@@@@@.jpg,database/@0@104@@@@@000104@@@@@@@@.jpg,a train going down the tracks in the snow,a train traveling through a forest filled with trees,,,
4,34,6,queries/@0@130@@@@@000130@@@@@@@@.jpg,database/@0@105@@@@@000105@@@@@@@@.jpg,a view of a train going down the tracks in the snow,a train traveling down the tracks in the woods,,,
5,36,8,queries/@0@132@@@@@000132@@@@@@@@.jpg,database/@0@107@@@@@000107@@@@@@@@.jpg,a view of a snow covered road from a vehicle,a train traveling through a forest filled with trees,,,
6,48,20,queries/@0@143@@@@@000143@@@@@@@@.jpg,database/@0@118@@@@@000118@@@@@@@@.jpg,a person riding a snowboard down a snowy slope,a train traveling down the tracks in the mountains,,,
7,69,41,queries/@0@162@@@@@000162@@@@@@@@.jpg,database/@0@137@@@@@000137@@@@@@@@.jpg,a view of a train going down the tracks in the snow,a train traveling down the tracks near a river,,,
8,74,47,queries/@0@167@@@@@000167@@@@@@@@.jpg,database/@0@142@@@@@000142@@@@@@@@.jpg,a train traveling down the tracks in the snow,a view from a train window looking down the tracks,,,
9,89,61,queries/@0@180@@@@@000180@@@@@@@@.jpg,database/@0@155@@@@@000155@@@@@@@@.jpg,a view of a snowy town from a train,a train traveling down the tracks near a small town,,,
10,110,0,queries/@0@19@@@@@000019@@@@@@@@.jpg,database/@0@0@@@@@000000@@@@@@@@.jpg,a snowboarder is riding down the side of a mountain,a train traveling down the tracks in the woods,,,
11,141,114,queries/@0@227@@@@@000227@@@@@@@@.jpg,database/@0@202@@@@@000202@@@@@@@@.jpg,a view of a snowy road with cars driving down it,a view of a train track with cars parked on it,,,
12,155,0,queries/@0@23@@@@@000023@@@@@@@@.jpg,database/@0@0@@@@@000000@@@@@@@@.jpg,a person riding a snowboard down the side of a hill,a train traveling down the tracks in the woods,,,
13,158,130,queries/@0@242@@@@@000242@@@@@@@@.jpg,database/@0@217@@@@@000217@@@@@@@@.jpg,a car driving down a snow covered road,a train is traveling down the tracks near a train station,,,
