query_index,top1_database_index,is_diagonal_match,diag_score,top1_score
0,1544,False,0.1416389,0.41250283
1,3495,False,0.31588084,0.45050335
2,3002,False,0.16285102,0.4902587
3,569,False,-0.0018870621,0.4690534
4,147,False,0.13926604,0.521228
5,3510,False,0.14242515,0.40958118
6,3510,False,0.14966291,0.43401554
7,3472,False,0.26690757,0.46106088
8,96,False,0.20606105,0.4962519
9,2922,False,0.40864903,0.5798656
10,3516,False,0.3206685,0.51437277
11,3518,False,0.30966502,0.54238635
12,3518,False,0.29718235,0.5065845
13,3518,False,0.34896272,0.587373
14,3462,False,0.36376718,0.5805862
15,3013,False,0.08761269,0.4170859
16,2952,False,0.4419394,0.61816764
17,709,False,0.13781641,0.46247062
18,3522,False,0.18032703,0.45163602
19,3523,False,0.18630318,0.54927915
20,1459,False,0.29169577,0.49106348
21,3581,False,0.17952296,0.47442013
22,765,False,0.2531963,0.47630617
23,633,False,0.1664794,0.50321436
24,633,False,0.23537329,0.42204386
25,721,False,0.30251324,0.50240296
26,3035,False,0.052004497,0.6084044
27,940,False,0.3759153,0.60332555
28,158,False,0.4200703,0.49775922
29,2136,False,0.44611824,0.5888319
30,2908,False,0.244504,0.48292822
31,53,False,0.22752027,0.47799262
32,3537,False,0.27644262,0.5200412
33,3538,False,0.13612232,0.48596308
34,2585,False,0.27581483,0.47999984
35,2585,False,0.30678755,0.54581726
36,2562,False,0.28450274,0.40128046
37,3035,False,0.1706001,0.68870574
38,3580,False,0.2460836,0.50407666
39,3543,False,0.048299514,0.425213
40,381,False,0.28370786,0.5450736
41,3544,False,0.08511653,0.4217727
42,3547,False,0.31813475,0.4972008
43,2584,False,0.24454553,0.54430425
44,60,False,0.24079768,0.57360375
45,3581,False,0.21668006,0.5283652
46,3495,False,0.41224492,0.48712084
47,630,False,0.28843892,0.5633768
48,3046,False,0.086677335,0.7520161
49,692,False,0.15826043,0.4817361
