query_index,top1_database_index,is_diagonal_match,diag_score,top1_score
0,358,False,0.25433543,0.34619296
1,372,False,0.15618561,0.44282204
2,373,False,0.22163004,0.63814455
3,374,False,0.12311721,0.4216299
4,375,False,0.1824194,0.5073377
5,376,False,0.16039708,0.48040992
6,378,False,0.1620976,0.570853
7,379,False,0.15915377,0.6604956
8,380,False,0.22808382,0.4912259
9,382,False,0.26727408,0.4402454
10,381,False,0.1713624,0.4494521
11,325,False,0.26085177,0.43126833
12,382,False,0.10634784,0.49189112
13,383,False,0.097249396,0.51537037
14,384,False,0.22072488,0.5016148
15,385,False,0.3232429,0.58555794
16,386,False,0.22438821,0.5075128
17,386,False,0.11604348,0.4635735
18,387,False,0.12847586,0.43242875
19,389,False,0.12646954,0.40927726
20,390,False,0.13115855,0.38466313
21,391,False,0.27816692,0.566786
22,388,False,0.25128922,0.40659973
23,214,False,0.19997899,0.40651584
24,393,False,0.23107675,0.4362545
25,300,False,0.13930325,0.3667962
26,301,False,0.26895657,0.50740266
27,301,False,0.1944856,0.47117713
28,398,False,0.30667648,0.5988744
29,398,False,0.27369815,0.4773364
30,1,False,0.29219928,0.50600255
31,3,False,0.30895075,0.5324479
32,8,False,0.3770808,0.4492123
33,314,False,0.22961418,0.4255388
34,398,False,0.31515732,0.49079168
35,398,False,0.31718308,0.49787235
36,6,False,0.3176815,0.58490497
37,398,False,0.19215128,0.46944267
38,8,False,0.11915538,0.49679667
39,317,False,0.11214021,0.52050143
40,10,False,0.16292055,0.47089183
41,12,False,0.20019542,0.50735545
42,16,False,0.13212459,0.4306711
43,15,False,0.3393157,0.47813627
44,11,False,0.2395021,0.4215361
45,15,False,0.252248,0.47281274
46,16,False,0.21154387,0.43185604
47,2,False,0.43038675,0.47339347
48,10,False,0.20480989,0.42648286
49,3,False,0.21422431,0.42223433
