rho,calibration_R@1,calibration_R@5,calibration_R@10,calibration_count@1,calibration_count@5,calibration_count@10,calibration_mean_alpha,seed,n_calibration,n_evaluation
0.5,36.666666666666664,77.5,86.66666666666667,44,93,104,0.35630640387535095,1,120,280
1.0,41.66666666666667,79.16666666666666,86.66666666666667,50,95,104,0.4978887140750885,1,120,280
1.5,45.0,78.33333333333333,86.66666666666667,54,94,104,0.5824323892593384,1,120,280
2.0,45.83333333333333,78.33333333333333,86.66666666666667,55,94,104,0.6400117874145508,1,120,280
3.0,47.5,79.16666666666666,86.66666666666667,57,95,104,0.7148011922836304,1,120,280
4.0,48.333333333333336,79.16666666666666,86.66666666666667,58,95,104,0.7620418667793274,1,120,280
6.0,50.83333333333333,76.66666666666667,86.66666666666667,61,92,104,0.8193773031234741,1,120,280
8.0,51.66666666666667,76.66666666666667,86.66666666666667,62,92,104,0.853424072265625,1,120,280
10.0,51.66666666666667,76.66666666666667,86.66666666666667,62,92,104,0.8762102723121643,1,120,280
0.5,35.833333333333336,74.16666666666667,87.5,43,89,105,0.35802677273750305,7,120,280
1.0,35.833333333333336,75.0,87.5,43,90,105,0.49877139925956726,7,120,280
1.5,38.333333333333336,75.83333333333333,87.5,46,91,105,0.582712709903717,7,120,280
2.0,40.0,75.83333333333333,87.5,48,91,105,0.6400182247161865,7,120,280
3.0,42.5,76.66666666666667,87.5,51,92,105,0.7147399187088013,7,120,280
4.0,44.166666666666664,75.0,87.5,53,90,105,0.7621437907218933,7,120,280
6.0,45.83333333333333,72.5,87.5,55,87,105,0.8198932409286499,7,120,280
8.0,45.83333333333333,72.5,87.5,55,87,105,0.85426926612854,7,120,280
10.0,47.5,72.5,87.5,57,87,105,0.8772844672203064,7,120,280
0.5,44.166666666666664,80.83333333333333,88.33333333333333,53,97,106,0.3607240319252014,21,120,280
1.0,45.0,80.0,88.33333333333333,54,96,106,0.5021344423294067,21,120,280
1.5,45.83333333333333,80.0,88.33333333333333,55,96,106,0.5858516097068787,21,120,280
2.0,46.666666666666664,80.0,88.33333333333333,56,96,106,0.6426368951797485,21,120,280
3.0,46.666666666666664,80.0,88.33333333333333,56,96,106,0.71617192029953,21,120,280
4.0,47.5,79.16666666666666,88.33333333333333,57,95,106,0.7625296711921692,21,120,280
6.0,48.333333333333336,78.33333333333333,88.33333333333333,58,94,106,0.8187875151634216,21,120,280
8.0,47.5,77.5,88.33333333333333,57,93,106,0.8522666692733765,21,120,280
10.0,49.166666666666664,78.33333333333333,88.33333333333333,59,94,106,0.8747490048408508,21,120,280
0.5,45.0,75.83333333333333,89.16666666666667,54,91,107,0.3608967959880829,42,120,280
1.0,46.666666666666664,77.5,89.16666666666667,56,93,107,0.5006535053253174,42,120,280
1.5,48.333333333333336,75.83333333333333,89.16666666666667,58,91,107,0.583581268787384,42,120,280
2.0,48.333333333333336,75.83333333333333,89.16666666666667,58,91,107,0.6400533318519592,42,120,280
3.0,50.83333333333333,77.5,89.16666666666667,61,93,107,0.7135676741600037,42,120,280
4.0,51.66666666666667,77.5,89.16666666666667,62,93,107,0.7601675391197205,42,120,280
6.0,51.66666666666667,77.5,89.16666666666667,62,93,107,0.8169617056846619,42,120,280
8.0,50.0,77.5,89.16666666666667,60,93,107,0.8508402705192566,42,120,280
10.0,51.66666666666667,77.5,89.16666666666667,62,93,107,0.8735947012901306,42,120,280
0.5,38.333333333333336,75.0,87.5,46,90,105,0.3623862862586975,100,120,280
1.0,45.83333333333333,76.66666666666667,87.5,55,92,105,0.5004533529281616,100,120,280
1.5,45.0,75.83333333333333,87.5,54,91,105,0.5824888944625854,100,120,280
2.0,46.666666666666664,75.83333333333333,87.5,56,91,105,0.6383867859840393,100,120,280
3.0,50.0,75.0,87.5,60,90,105,0.7112165093421936,100,120,280
4.0,50.83333333333333,73.33333333333333,87.5,61,88,105,0.7574784755706787,100,120,280
6.0,51.66666666666667,73.33333333333333,87.5,62,88,105,0.8141043186187744,100,120,280
8.0,50.83333333333333,72.5,87.5,61,87,105,0.8481063842773438,100,120,280
10.0,51.66666666666667,73.33333333333333,87.5,62,88,105,0.87107914686203,100,120,280
