seed,n_calibration,n_evaluation,selected_rho,method,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha
1,120,280,8.0,B1_visual_only,52.85714285714286,77.14285714285715,88.21428571428571,148,216,247,
1,120,280,8.0,V1_sigmoid_threshold,53.92857142857142,76.07142857142857,88.21428571428571,151,213,247,0.7722288613116586
1,120,280,8.0,V2_global_rho_3,51.42857142857142,78.21428571428571,88.21428571428571,144,219,247,0.7114313840866089
1,120,280,8.0,V2_nordland_calibrated_rho,52.5,76.42857142857142,88.21428571428571,147,214,247,0.8497685790061951
7,120,280,10.0,B1_visual_only,54.285714285714285,79.28571428571428,87.85714285714286,152,222,246,
7,120,280,10.0,V1_sigmoid_threshold,55.35714285714286,77.5,87.85714285714286,155,217,246,0.7786716749733357
7,120,280,10.0,V2_global_rho_3,53.57142857142857,79.64285714285714,87.85714285714286,150,223,246,0.7114089131355286
7,120,280,10.0,V2_nordland_calibrated_rho,54.64285714285714,78.92857142857143,87.85714285714286,153,221,246,0.872042179107666
21,120,280,10.0,B1_visual_only,53.92857142857142,75.35714285714286,87.5,151,211,245,
21,120,280,10.0,V1_sigmoid_threshold,53.92857142857142,75.35714285714286,87.5,151,211,245,0.7924480839651213
21,120,280,10.0,V2_global_rho_3,51.78571428571429,77.85714285714286,87.5,145,218,245,0.7112026214599609
21,120,280,10.0,V2_nordland_calibrated_rho,54.285714285714285,76.42857142857142,87.5,152,214,245,0.8732483983039856
42,120,280,4.0,B1_visual_only,53.214285714285715,76.07142857142857,87.14285714285714,149,213,244,
42,120,280,4.0,V1_sigmoid_threshold,53.57142857142857,76.07142857142857,87.14285714285714,150,213,244,0.8043868174087802
42,120,280,4.0,V2_global_rho_3,49.642857142857146,79.28571428571428,87.14285714285714,139,222,244,0.7116163969039917
42,120,280,4.0,V2_nordland_calibrated_rho,50.0,78.21428571428571,87.14285714285714,140,219,244,0.7585777044296265
100,120,280,6.0,B1_visual_only,52.5,77.5,87.85714285714286,147,217,246,
100,120,280,6.0,V1_sigmoid_threshold,53.214285714285715,77.5,87.85714285714286,149,217,246,0.7976508784057568
100,120,280,6.0,V2_global_rho_3,51.07142857142857,80.0,87.85714285714286,143,224,246,0.713022768497467
100,120,280,6.0,V2_nordland_calibrated_rho,52.142857142857146,78.21428571428571,87.85714285714286,146,219,246,0.8176899552345276
