query_id,v1_best_positive_rank_in_top10,v2_best_positive_rank_in_top10,v1_bucket,v2_bucket,v1_R@1_correct,v2_R@1_correct,v1_R@5_correct,v2_R@5_correct,v1_R@10_correct,v2_R@10_correct,rank_shift_v2_minus_v1,alpha_v1,alpha_v2,SU,LU
0,6,8,rank_6_10,rank_6_10,False,False,False,False,True,True,2,1.0,0.8321237564086914,0.7412573099136353,0.8980435729026794
1,1,2,rank_1,rank_2,True,False,True,True,True,True,1,1.0,0.7150980830192566,0.8497715592384338,0.9042955636978149
2,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.583007599188856,0.5059388279914856,0.7702350616455078,0.8027386665344238
3,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.2850964103869647,0.1655939221382141,0.9024577736854553,0.7535902261734009
4,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.871899425983429,0.7499681711196899,0.9313907623291016
5,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6351376175880432,0.8106377124786377,0.8570395708084106
6,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8560582399368286,0.7611559629440308,0.9266870021820068
7,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.973643958568573,0.5315530300140381,0.9155087471008301
8,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6661731004714966,0.7919085025787354,0.8575559258460999
9,1,3,rank_1,rank_3,True,False,True,True,True,True,2,1.0,0.5344310998916626,0.8574883341789246,0.8489563465118408
10,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.815582275390625,0.7413387894630432,0.8889974355697632
11,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.763559877872467,0.8955652713775635,0.9522644281387329
12,2,2,rank_2,rank_2,False,False,True,True,True,True,0,0.6758528247724722,0.7477278709411621,0.7281113862991333,0.8519127368927002
13,2,1,rank_2,rank_1,False,True,True,True,True,True,-1,1.0,0.7311012148857117,0.8282212018966675,0.8996034860610962
14,4,4,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.48147300911080676,0.5027323961257935,0.8133736848831177,0.821440577507019
15,2,4,rank_2,rank_4_5,False,False,True,True,True,True,2,0.6661933689985947,0.7848964333534241,0.7327237725257874,0.8693685531616211
16,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.4838543233118061,0.5043312907218933,0.8123683929443359,0.821415901184082
17,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.6840996672147472,0.7843273878097534,0.7241166830062866,0.8642053604125977
18,5,5,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.293387560454034,0.6188011765480042,0.8982065916061401,0.8918323516845703
19,7,9,rank_6_10,rank_6_10,False,False,False,False,True,True,2,1.0,0.7267335653305054,0.792162299156189,0.8786932229995728
20,4,4,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.2385225623269594,0.20427167415618896,0.9279099702835083,0.777362048625946
21,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.7458120322792378,0.6576197147369385,0.6921035051345825,0.803966224193573
22,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7810277938842773,0.8946933150291443,0.9623034000396729
23,3,4,rank_3,rank_4_5,False,False,True,True,True,True,1,0.6287470832003956,0.8594778180122375,0.7500280141830444,0.9216443300247192
24,6,5,rank_6_10,rank_4_5,False,False,False,True,True,True,-1,1.0,0.7343404293060303,0.8217145800590515,0.8974777460098267
25,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.503002405166626,0.9249666929244995,0.8667092323303223
26,4,6,rank_4_5,rank_6_10,False,False,True,False,True,True,2,1.0,0.49980753660202026,0.9060522317886353,0.8586903810501099
27,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.22056751454420914,0.7154479622840881,0.9386153221130371,0.9495240449905396
28,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.4357345309233873,0.847723662853241,0.8328045606613159,0.9706505537033081
29,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.6300408244132996,0.7703219652175903,0.8359223008155823
30,1,2,rank_1,rank_2,True,False,True,True,True,True,1,0.4710346887001074,0.7349717617034912,0.8177847266197205,0.895634651184082
31,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.2419881260626583,0.6100521087646484,0.9259088039398193,0.9006116986274719
32,1,2,rank_1,rank_2,True,False,True,True,True,True,1,0.4247343813911064,0.5844457149505615,0.8375346660614014,0.8544657230377197
33,4,3,rank_4_5,rank_3,False,False,True,True,True,True,-1,0.5026549895122379,0.7213989496231079,0.8044395446777344,0.8831587433815002
34,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.7454600930213928,0.8951591849327087,0.9421657919883728
35,3,4,rank_3,rank_4_5,False,False,True,True,True,True,1,0.3223822005603646,0.6408074498176575,0.8838567733764648,0.8929790258407593
36,8,8,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.8902333974838257,0.7130720615386963,0.9210742712020874
37,5,6,rank_4_5,rank_6_10,False,False,True,False,True,True,1,1.0,0.6618416905403137,0.851314902305603,0.8851276636123657
38,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.5370867379757054,0.6919148564338684,0.7898939847946167,0.8650052547454834
39,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.3157935991396165,0.5679822564125061,0.8870532512664795,0.8710048794746399
40,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.3948558653531942,0.5249407887458801,0.8505601286888123,0.8434107303619385
41,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.8486843705177307,0.8072079420089722,0.9530216455459595
42,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8229832053184509,0.8320286870002747,0.9506609439849854
43,3,4,rank_3,rank_4_5,False,False,True,True,True,True,1,0.5029182975761707,0.8224722743034363,0.8043285608291626,0.9322025775909424
44,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.47333061593503506,0.8423716425895691,0.8168137073516846,0.9547443389892578
45,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.8154775500297546,0.847553014755249,0.9556251764297485
46,3,4,rank_3,rank_4_5,False,False,True,True,True,True,1,0.4407130261543308,0.7942042946815491,0.830673098564148,0.9315439462661743
47,4,3,rank_4_5,rank_3,False,False,True,True,True,True,-1,0.27352927140668726,0.19298958778381348,0.908515214920044,0.7668696641921997
48,4,2,rank_4_5,rank_2,False,False,True,True,True,True,-2,1.0,0.5080053210258484,0.9095771312713623,0.862377941608429
49,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.2092576330310403,0.6687490940093994,0.9456819295883179,0.9314196109771729
50,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.5307179807740683,0.7918946146965027,0.7925915718078613,0.9074708223342896
51,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.7951892945181346,0.7316485643386841,0.6625807881355286,0.810583233833313
52,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.8999671339988708,0.6864136457443237,0.9111545085906982
53,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.5748402016135912,0.45596668124198914,0.7737666368484497,0.7917512655258179
54,9,8,rank_6_10,rank_6_10,False,False,False,False,True,True,-1,1.0,0.6935850381851196,0.9369053840637207,0.9382508993148804
55,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.8187276721000671,0.8255947828292847,0.9435162544250488
56,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.8289098739624023,0.8112236261367798,0.9410022497177124
57,5,5,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.43359760862672486,0.7805669903755188,0.8337212204933167,0.9258276224136353
58,6,6,rank_6_10,rank_6_10,False,False,False,False,True,True,0,1.0,0.8770583868026733,0.745521068572998,0.9326233863830566
59,9,8,rank_6_10,rank_6_10,False,False,False,False,True,True,-1,0.646406296332505,0.688139796257019,0.7419716119766235,0.8390300273895264
60,10,10,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.7552996666621703,0.8564631342887878,0.6867616176605225,0.8784592151641846
61,9,9,rank_6_10,rank_6_10,False,False,False,False,True,True,0,0.7167374606144384,0.4521164000034332,0.7077099084854126,0.7595484256744385
62,9,10,rank_6_10,rank_6_10,False,False,False,False,True,True,1,0.864815158811483,0.7760045528411865,0.6099449396133423,0.7968283891677856
63,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,0.3172088764322035,0.4072832763195038,0.8863636255264282,0.8257392644882202
64,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.4384255637730227,0.5983467698097229,0.8316518068313599,0.8558590412139893
65,7,5,rank_6_10,rank_4_5,False,False,False,True,True,True,-2,1.0,0.7496134638786316,0.876663088798523,0.9341921806335449
66,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8728430867195129,0.7550674080848694,0.9358402490615845
67,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.7089079022407532,0.8445343375205994,0.899124264717102
68,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.6770782470703125,0.8851684331893921,0.9067879319190979
69,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.754754364490509,0.8572039604187012,0.9260139465332031
