seed,split,n_calibration,n_evaluation,rho,candidate_pool,uncertainty_k,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha
1,calibration,222,518,0.5,10,10,82.88288288288288,89.63963963963964,91.44144144144144,184,199,203,0.3603297770023346
1,calibration,222,518,1.0,10,10,83.78378378378379,89.63963963963964,91.44144144144144,186,199,203,0.5052294135093689
1,calibration,222,518,1.5,10,10,83.33333333333334,89.1891891891892,91.44144144144144,185,198,203,0.5911201238632202
1,calibration,222,518,2.0,10,10,85.13513513513513,88.73873873873875,91.44144144144144,189,197,203,0.649341344833374
1,calibration,222,518,3.0,10,10,84.68468468468468,88.73873873873875,91.44144144144144,188,197,203,0.7245222330093384
1,calibration,222,518,4.0,10,10,84.68468468468468,89.1891891891892,91.44144144144144,188,198,203,0.771639347076416
1,calibration,222,518,6.0,10,10,85.13513513513513,89.1891891891892,91.44144144144144,189,198,203,0.8282293081283569
1,calibration,222,518,8.0,10,10,84.68468468468468,88.73873873873875,91.44144144144144,188,197,203,0.8613857626914978
1,calibration,222,518,10.0,10,10,83.78378378378379,88.28828828828829,91.44144144144144,186,196,203,0.8833202719688416
1,calibration,222,518,0.5,20,10,81.98198198198197,90.09009009009009,91.8918918918919,182,200,204,0.3603297770023346
1,calibration,222,518,1.0,20,10,82.88288288288288,90.54054054054053,91.44144144144144,184,201,203,0.5052294135093689
1,calibration,222,518,1.5,20,10,83.78378378378379,90.09009009009009,91.8918918918919,186,200,204,0.5911201238632202
1,calibration,222,518,2.0,20,10,85.58558558558559,89.1891891891892,91.8918918918919,190,198,204,0.649341344833374
1,calibration,222,518,3.0,20,10,84.68468468468468,88.73873873873875,91.8918918918919,188,197,204,0.7245222330093384
1,calibration,222,518,4.0,20,10,84.68468468468468,88.73873873873875,91.8918918918919,188,197,204,0.771639347076416
1,calibration,222,518,6.0,20,10,85.13513513513513,89.63963963963964,91.8918918918919,189,199,204,0.8282293081283569
1,calibration,222,518,8.0,20,10,84.68468468468468,89.1891891891892,91.8918918918919,188,198,204,0.8613857626914978
1,calibration,222,518,10.0,20,10,83.78378378378379,88.73873873873875,91.8918918918919,186,197,204,0.8833202719688416
1,calibration,222,518,0.5,50,10,81.08108108108108,89.1891891891892,91.8918918918919,180,198,204,0.3603297770023346
1,calibration,222,518,1.0,50,10,82.43243243243244,90.09009009009009,91.8918918918919,183,200,204,0.5052294135093689
1,calibration,222,518,1.5,50,10,83.33333333333334,90.09009009009009,91.8918918918919,185,200,204,0.5911201238632202
1,calibration,222,518,2.0,50,10,85.13513513513513,89.1891891891892,91.8918918918919,189,198,204,0.649341344833374
1,calibration,222,518,3.0,50,10,84.68468468468468,88.73873873873875,92.34234234234235,188,197,205,0.7245222330093384
1,calibration,222,518,4.0,50,10,84.68468468468468,88.73873873873875,91.8918918918919,188,197,204,0.771639347076416
1,calibration,222,518,6.0,50,10,85.13513513513513,89.63963963963964,91.8918918918919,189,199,204,0.8282293081283569
1,calibration,222,518,8.0,50,10,84.68468468468468,89.1891891891892,91.8918918918919,188,198,204,0.8613857626914978
1,calibration,222,518,10.0,50,10,83.78378378378379,88.73873873873875,91.8918918918919,186,197,204,0.8833202719688416
1,calibration,222,518,0.5,100,10,81.08108108108108,88.73873873873875,90.990990990991,180,197,202,0.3603297770023346
1,calibration,222,518,1.0,100,10,82.43243243243244,90.09009009009009,92.34234234234235,183,200,205,0.5052294135093689
1,calibration,222,518,1.5,100,10,83.33333333333334,90.09009009009009,92.34234234234235,185,200,205,0.5911201238632202
1,calibration,222,518,2.0,100,10,85.13513513513513,89.1891891891892,92.34234234234235,189,198,205,0.649341344833374
1,calibration,222,518,3.0,100,10,84.68468468468468,88.73873873873875,92.34234234234235,188,197,205,0.7245222330093384
1,calibration,222,518,4.0,100,10,84.68468468468468,88.73873873873875,91.8918918918919,188,197,204,0.771639347076416
1,calibration,222,518,6.0,100,10,85.13513513513513,89.63963963963964,91.8918918918919,189,199,204,0.8282293081283569
1,calibration,222,518,8.0,100,10,84.68468468468468,89.1891891891892,91.8918918918919,188,198,204,0.8613857626914978
1,calibration,222,518,10.0,100,10,83.78378378378379,88.73873873873875,91.8918918918919,186,197,204,0.8833202719688416
7,calibration,222,518,0.5,10,10,83.78378378378379,91.44144144144144,93.24324324324324,186,203,207,0.3578861653804779
7,calibration,222,518,1.0,10,10,86.03603603603604,91.44144144144144,93.24324324324324,191,203,207,0.5028861165046692
7,calibration,222,518,1.5,10,10,86.03603603603604,91.44144144144144,93.24324324324324,191,203,207,0.5892797708511353
7,calibration,222,518,2.0,10,10,86.48648648648648,91.8918918918919,93.24324324324324,192,204,207,0.6479908227920532
7,calibration,222,518,3.0,10,10,86.03603603603604,91.8918918918919,93.24324324324324,191,204,207,0.723937451839447
7,calibration,222,518,4.0,10,10,86.03603603603604,91.8918918918919,93.24324324324324,191,204,207,0.771579921245575
7,calibration,222,518,6.0,10,10,85.58558558558559,91.8918918918919,93.24324324324324,190,204,207,0.8287943005561829
7,calibration,222,518,8.0,10,10,84.68468468468468,91.8918918918919,93.24324324324324,188,204,207,0.8622759580612183
7,calibration,222,518,10.0,10,10,84.68468468468468,91.8918918918919,93.24324324324324,188,204,207,0.8843870162963867
7,calibration,222,518,0.5,20,10,82.88288288288288,90.990990990991,92.7927927927928,184,202,206,0.3578861653804779
7,calibration,222,518,1.0,20,10,86.03603603603604,91.44144144144144,92.7927927927928,191,203,206,0.5028861165046692
7,calibration,222,518,1.5,20,10,86.48648648648648,91.8918918918919,92.7927927927928,192,204,206,0.5892797708511353
7,calibration,222,518,2.0,20,10,86.93693693693693,91.8918918918919,92.7927927927928,193,204,206,0.6479908227920532
7,calibration,222,518,3.0,20,10,86.03603603603604,91.8918918918919,92.7927927927928,191,204,206,0.723937451839447
7,calibration,222,518,4.0,20,10,86.03603603603604,91.8918918918919,92.7927927927928,191,204,206,0.771579921245575
7,calibration,222,518,6.0,20,10,85.58558558558559,91.8918918918919,93.24324324324324,190,204,207,0.8287943005561829
7,calibration,222,518,8.0,20,10,84.68468468468468,91.44144144144144,93.24324324324324,188,203,207,0.8622759580612183
7,calibration,222,518,10.0,20,10,84.68468468468468,91.8918918918919,93.24324324324324,188,204,207,0.8843870162963867
7,calibration,222,518,0.5,50,10,81.08108108108108,91.44144144144144,92.7927927927928,180,203,206,0.3578861653804779
7,calibration,222,518,1.0,50,10,85.13513513513513,92.7927927927928,93.24324324324324,189,206,207,0.5028861165046692
7,calibration,222,518,1.5,50,10,86.03603603603604,92.7927927927928,93.24324324324324,191,206,207,0.5892797708511353
7,calibration,222,518,2.0,50,10,86.48648648648648,92.7927927927928,93.24324324324324,192,206,207,0.6479908227920532
7,calibration,222,518,3.0,50,10,86.03603603603604,91.8918918918919,93.69369369369369,191,204,208,0.723937451839447
7,calibration,222,518,4.0,50,10,86.03603603603604,91.8918918918919,92.7927927927928,191,204,206,0.771579921245575
