Dataset,Method,rho,R@1,R@5,R@10,count@1,mean_alpha
AmsterTime,B1 visual-only,,43.46060113728676,63.444354183590576,70.18683996750609,535,
AmsterTime,B2 fixed fusion,,43.62307067424858,65.80016246953696,73.43623070674249,537,0.5
AmsterTime,V2 conservative precision,1.0,42.9731925264013,65.55645816409424,70.18683996750609,529,0.5005715489387512
AmsterTime,V2 conservative precision,1.5,43.21689683184403,65.47522339561333,70.18683996750609,532,0.584877073764801
AmsterTime,V2 conservative precision,2.0,43.785540211210396,65.55645816409424,70.18683996750609,539,0.6423113942146301
AmsterTime,V2 conservative precision,3.0,44.35418359057677,65.63769293257515,70.18683996750609,546,0.7169834971427917
AmsterTime,V2 conservative precision,4.0,44.84159220146223,65.55645816409424,70.18683996750609,552,0.764187753200531
AmsterTime,V2 conservative precision,6.0,44.760357432981316,64.98781478472786,70.18683996750609,551,0.821467936038971
AmsterTime,V2 conservative precision,8.0,44.59788789601949,64.90658001624695,70.18683996750609,549,0.8554264903068542
AmsterTime,V2 conservative precision,10.0,44.51665312753859,64.98781478472786,70.18683996750609,548,0.8781010508537292
AmsterTime,V2 conservative precision,12.0,44.43541835905768,64.82534524776604,70.18683996750609,547,0.894396960735321
AmsterTime,V2 conservative precision,16.0,44.43541835905768,64.66287571080423,70.18683996750609,547,0.9163704514503479
AmsterTime,V2 conservative precision,20.0,44.43541835905768,64.58164094232332,70.18683996750609,547,0.9305785894393921
AmsterTime,V2 conservative precision,30.0,44.35418359057677,63.850528025995125,70.18683996750609,546,0.9510133862495422
MSLS-val,B1 visual-only,,84.86486486486487,90.94594594594595,92.83783783783784,628,
MSLS-val,B2 fixed fusion,,84.45945945945945,91.48648648648648,93.24324324324324,625,0.5
MSLS-val,V2 conservative precision,1.0,84.5945945945946,90.94594594594595,92.83783783783784,626,0.5032210350036621
MSLS-val,V2 conservative precision,1.5,85.0,91.21621621621621,92.83783783783784,629,0.5890649557113647
MSLS-val,V2 conservative precision,2.0,85.54054054054055,91.21621621621621,92.83783783783784,633,0.6473069190979004
MSLS-val,V2 conservative precision,3.0,85.4054054054054,91.21621621621621,92.83783783783784,632,0.7226253747940063
MSLS-val,V2 conservative precision,4.0,85.54054054054055,91.21621621621621,92.83783783783784,633,0.7699289917945862
MSLS-val,V2 conservative precision,6.0,85.4054054054054,91.48648648648648,92.83783783783784,632,0.8269040584564209
MSLS-val,V2 conservative precision,8.0,84.86486486486487,91.21621621621621,92.83783783783784,628,0.8604044914245605
MSLS-val,V2 conservative precision,10.0,84.5945945945946,91.08108108108108,92.83783783783784,626,0.8826330900192261
MSLS-val,V2 conservative precision,12.0,84.5945945945946,91.08108108108108,92.83783783783784,626,0.8985286951065063
MSLS-val,V2 conservative precision,16.0,84.86486486486487,90.94594594594595,92.83783783783784,628,0.9198419451713562
MSLS-val,V2 conservative precision,20.0,84.86486486486487,90.8108108108108,92.83783783783784,628,0.9335399866104126
MSLS-val,V2 conservative precision,30.0,84.86486486486487,90.94594594594595,92.83783783783784,628,0.9531084895133972
Nordland-clean,B1 visual-only,,52.75,76.25,87.75,211,
Nordland-clean,B2 fixed fusion,,45.75,75.0,83.75,183,0.5
Nordland-clean,V2 conservative precision,1.0,47.75,78.25,87.75,191,0.499510794878006
Nordland-clean,V2 conservative precision,1.5,48.5,78.0,87.75,194,0.5822480916976929
Nordland-clean,V2 conservative precision,2.0,49.25,77.75,87.75,197,0.638741135597229
Nordland-clean,V2 conservative precision,3.0,50.5,78.75,87.75,202,0.7124812602996826
Nordland-clean,V2 conservative precision,4.0,50.5,77.75,87.75,202,0.7593469023704529
Nordland-clean,V2 conservative precision,6.0,52.0,76.5,87.75,208,0.8165925741195679
Nordland-clean,V2 conservative precision,8.0,52.25,76.5,87.75,209,0.8507952690124512
Nordland-clean,V2 conservative precision,10.0,52.75,77.0,87.75,211,0.8737778663635254
Nordland-clean,V2 conservative precision,12.0,53.0,76.75,87.75,212,0.8903816342353821
Nordland-clean,V2 conservative precision,16.0,52.5,76.5,87.75,210,0.912905216217041
Nordland-clean,V2 conservative precision,20.0,52.5,76.5,87.75,210,0.9275625348091125
Nordland-clean,V2 conservative precision,30.0,52.0,76.25,87.75,208,0.9487858414649963
