Dataset,Split,Uncertainty_axis,Coverage,n_kept,mean_uncertainty_kept,rho,candidate_pool,uncertainty_k,mean_LU_full,mean_SU_full,mean_alpha_full,B1 visual-only_R@1,B1 visual-only_risk,B2 fixed fusion_R@1,B2 fixed fusion_risk,V1 sigmoid+threshold_R@1,V1 sigmoid+threshold_risk,V2 calibrated precision_R@1,V2 calibrated precision_risk
AmsterTime,full,LU,0.05,62,0.8001940846443176,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,58.06451612903226,41.93548387096774,62.903225806451616,37.096774193548384,62.903225806451616,37.096774193548384,62.903225806451616,37.096774193548384
AmsterTime,full,LU,0.1,124,0.8208422660827637,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,52.41935483870967,47.58064516129033,56.451612903225815,43.548387096774185,56.451612903225815,43.548387096774185,57.25806451612904,42.74193548387096
AmsterTime,full,LU,0.2,247,0.8413944840431213,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,49.797570850202426,50.202429149797574,50.20242914979757,49.79757085020243,50.20242914979757,49.79757085020243,51.417004048582996,48.582995951417004
AmsterTime,full,LU,0.3,370,0.8544473052024841,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,48.64864864864865,51.35135135135135,49.45945945945946,50.54054054054054,48.37837837837838,51.62162162162162,49.72972972972973,50.27027027027027
AmsterTime,full,LU,0.4,493,0.864368736743927,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,47.46450304259635,52.53549695740365,46.85598377281947,53.14401622718053,46.65314401622718,53.34685598377282,48.6815415821501,51.3184584178499
AmsterTime,full,LU,0.5,616,0.8721352815628052,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,44.8051948051948,55.1948051948052,45.12987012987013,54.87012987012987,44.31818181818182,55.68181818181818,46.42857142857143,53.57142857142857
AmsterTime,full,LU,0.6,739,0.878858745098114,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,44.79025710419486,55.20974289580514,44.79025710419486,55.20974289580514,44.65493910690122,55.34506089309878,46.14343707713126,53.85656292286874
AmsterTime,full,LU,0.7,862,0.8849477171897888,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,45.47563805104408,54.52436194895592,44.895591647331784,55.104408352668216,45.127610208816705,54.872389791183295,46.51972157772622,53.48027842227378
AmsterTime,full,LU,0.8,985,0.8905171751976013,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,45.17766497461929,54.82233502538071,45.076142131979694,54.923857868020306,44.9746192893401,55.0253807106599,46.09137055837563,53.90862944162437
AmsterTime,full,LU,0.9,1108,0.8958361148834229,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,44.22382671480145,55.77617328519855,44.13357400722022,55.86642599277978,44.04332129963899,55.95667870036101,45.30685920577617,54.69314079422383
AmsterTime,full,LU,1.0,1231,0.901530385017395,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,43.46060113728676,56.53939886271324,43.623070674248574,56.376929325751426,43.21689683184403,56.78310316815597,44.35418359057677,55.64581640942323
AmsterTime,full,SU,0.05,62,0.39173370599746704,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,95.16129032258065,4.838709677419345,95.16129032258065,4.838709677419345,95.16129032258065,4.838709677419345,93.54838709677419,6.451612903225808
AmsterTime,full,SU,0.1,124,0.4359365701675415,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,92.74193548387096,7.258064516129039,91.93548387096774,8.064516129032256,92.74193548387096,7.258064516129039,92.74193548387096,7.258064516129039
AmsterTime,full,SU,0.2,247,0.4989622235298157,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,88.25910931174089,11.740890688259114,86.63967611336032,13.360323886639677,87.85425101214574,12.145748987854262,87.85425101214574,12.145748987854262
AmsterTime,full,SU,0.3,370,0.5449696183204651,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,82.70270270270271,17.29729729729729,80.8108108108108,19.189189189189193,82.43243243243244,17.567567567567565,81.89189189189189,18.108108108108112
AmsterTime,full,SU,0.4,493,0.5819986462593079,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,74.4421906693712,25.5578093306288,73.02231237322515,26.977687626774852,74.0365111561866,25.963488843813394,74.0365111561866,25.963488843813394
AmsterTime,full,SU,0.5,616,0.6132423281669617,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,66.88311688311688,33.116883116883116,65.25974025974025,34.740259740259745,66.3961038961039,33.603896103896105,66.72077922077922,33.27922077922078
AmsterTime,full,SU,0.6,739,0.6409342885017395,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,61.299052774018946,38.700947225981054,59.67523680649527,40.32476319350473,61.02841677943166,38.97158322056834,61.02841677943166,38.97158322056834
AmsterTime,full,SU,0.7,862,0.6653273105621338,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,56.496519721577734,43.503480278422266,55.33642691415314,44.66357308584686,56.148491879350345,43.851508120649655,56.61252900232019,43.38747099767981
AmsterTime,full,SU,0.8,985,0.6876255869865417,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,51.675126903553306,48.324873096446694,50.76142131979695,49.23857868020305,51.5736040609137,48.4263959390863,51.878172588832484,48.121827411167516
AmsterTime,full,SU,0.9,1108,0.7080357074737549,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,47.11191335740072,52.88808664259928,47.021660649819495,52.978339350180505,47.021660649819495,52.978339350180505,47.74368231046932,52.25631768953068
AmsterTime,full,SU,1.0,1231,0.7286254167556763,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,43.46060113728676,56.53939886271324,43.623070674248574,56.376929325751426,43.21689683184403,56.78310316815597,44.35418359057677,55.64581640942323
AmsterTime,full,joint_variance,0.05,62,0.3632163107395172,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,91.93548387096774,8.064516129032256,90.32258064516128,9.677419354838719,90.32258064516128,9.677419354838719,90.32258064516128,9.677419354838719
AmsterTime,full,joint_variance,0.1,124,0.4868161976337433,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,83.87096774193549,16.129032258064512,83.06451612903226,16.935483870967744,83.87096774193549,16.129032258064512,83.06451612903226,16.935483870967744
AmsterTime,full,joint_variance,0.2,247,0.6902309060096741,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,74.49392712550608,25.506072874493924,74.49392712550608,25.506072874493924,75.30364372469636,24.696356275303643,74.89878542510121,25.10121457489879
AmsterTime,full,joint_variance,0.3,370,0.8443529009819031,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,71.62162162162163,28.378378378378372,69.1891891891892,30.810810810810807,70.8108108108108,29.189189189189193,71.08108108108108,28.91891891891892
AmsterTime,full,joint_variance,0.4,493,0.9707689881324768,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,68.35699797160242,31.643002028397575,65.92292089249493,34.07707910750507,67.95131845841786,32.04868154158214,68.15415821501014,31.845841784989858
AmsterTime,full,joint_variance,0.5,616,1.082073450088501,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,60.87662337662337,39.12337662337663,60.55194805194806,39.44805194805194,61.038961038961034,38.961038961038966,62.01298701298701,37.98701298701299
