Dataset,Method,R@1,R@5,R@10,count@1,count@5,count@10,n_queries,mean_alpha
AmsterTime,B1_visual_only_full_db,43.46060113728676,63.444354183590576,70.18683996750609,535,781,864,1231,
AmsterTime,B2_fixed_0.5_full_db,43.623070674248574,65.80016246953696,73.43623070674249,537,810,904,1231,
AmsterTime,V1_sigmoid_threshold_pool10,43.21689683184403,63.769293257514214,70.18683996750609,532,785,864,1231,0.8428285835891867
AmsterTime,V2_precision_weighted_pool10,44.35418359057677,65.63769293257515,70.18683996750609,546,808,864,1231,0.7169834971427917
MSLS-val held-out,B1_visual_only_full_db,84.74903474903475,90.54054054054053,93.05019305019306,439,469,482,518,
MSLS-val held-out,B2_fixed_0.5_full_db,84.74903474903475,91.5057915057915,93.62934362934364,439,474,485,518,
MSLS-val held-out,V1_sigmoid_threshold_pool10,85.52123552123551,91.11969111969111,93.05019305019306,443,472,482,518,0.8858127923945661
MSLS-val held-out,V2_precision_weighted_pool10,85.32818532818533,91.31274131274131,93.05019305019306,442,473,482,518,0.723717212677002
Nordland-clean,B1_visual_only_full_db,52.75,76.25,87.75,211,305,351,400,
Nordland-clean,B2_fixed_0.5_full_db,45.75,75.0,83.75,183,300,335,400,
Nordland-clean,V1_sigmoid_threshold_pool10,53.0,76.0,87.75,212,304,351,400,0.7936497592681991
Nordland-clean,V2_precision_weighted_pool10,50.5,78.75,87.75,202,315,351,400,0.7124812602996826
